Disponibilidad_hidrica,Vulnerabilidad_subterranea,Usos_agua_superficial,Cuerpos_agua,Zonas_inundables,Usos_suelo,Pendientes,ANP,Localidades,Zona_riego,Erosion,Clave,Descripcion
,,,1,,,,,,1,,Ag.01,Los sedimentos extraídos de los canales de riego deberán incorporarse a las tierras de cultivo
,,3,,,3,,,,,,Ag.02,Los predios de monocultivos deberán implementar esquemas para el descanso de tierras y/o rotación periódica de cultivos.
2,,3,,1,3,,,,,,Ag.03,"Deberán evitarse las quemas en las parcelas agropecuarias. En caso de llevarse a cabo, se realizarán abriendo una brecha corta alrededor del predio, siguiendo la calendarización establecida  y conforme a las recomendaciones establecidas en la NOM-015 SEMARNAT/SAGARPA-2007, dando siempre previo aviso a la autoridad competente."
"0,1",1,3,,,3,,,,,,Ag.04,"Los procesos de fertilización del suelo deberán incorporar anualmente material orgánico como gallinaza, estiércol, composta o abonos verdes como leguminosas."
,,3,,1,3,,,,,,Ag.05,"En las unidades de producción se deberá establecer el cultivo de coberteras al final de cada ciclo, mismo que será utilizado en el siguiente como abono verde o como forraje."
3,,,,1,"2, 3",,,,,,Ag.06,"Se restringe la extensión de pastizales y a su vez,  la introducción de pastizales invasivos debido al riesgo del aumento de incendios, la potencial deforestación de la selva y la reducción a la resiliencia ante el cambio climático"
4,,,,1,"2, 3","0, 1, 2",,,,,Ag.07,"Se deberá mantener una franja de cercos vivos o barreras verdes en los perímetros de las áreas y/o predios agrícolas. Éstas deberán conectarse con cercos o barreras de otras áreas, tanto agrícolas como silvestres, para mitigar la erosión y favorecer la conectividad del hábitat."
,,,,,,,,,,,Ag.08,El incremento en la superficie de producción agrícola o la apertura de más áreas de producción se limitará a la superficie considerada con la política de aprovechamiento agropecuario
"0,1",,,,,,,,,,,Ag.09,Los canales de riego o drenes deben contar con trampas de sedimentos o desarenadores para evitar el azolve
,1,,1,1,,,,,,,Ag.10,Solo se pueden emplear agroquímicos que estén autorizados por la COFEPRIS  
"0,1",,,,,,,,,,,Ag.11,Desazolvar los canales de riego y eliminar la maleza periódicamente (mínimo una vez al año).
,,,,,,,,,,,Ag.12,"En cultivos de ladera, se deberán implementar técnicas de conservación de suelo para disminuir los procesos erosivos y de degradación del mismo. "
,,,,,,,,,,,Ag.13,Los residuos orgánicos del aprovechamiento agropecuario deben ser utilizados en el sitio para la fertilización de los suelos 
,,,,,,,,,,,Ag.14,"En terrenos con pendiente superior al 5%, la orientación de los surcos del cultivo de agave deberán realizarse a la inversa de la pendiente conjuntamente trazando curvas de nivel para reducir las pérdidas de suelo por erosión hídrica."
,,,1,1,,,,,,,Ag.15,"Los predios destinados al cultivo de agave deberán permitir la la floración de un 5% a 10% de la plantación, con el propósito de que éstas proporcionen néctar a las poblaciones de murciélagos magueyeros."
,1,3,1,1,,,,,,,Ag.16,"en los nuevos desarrollos de agricultura bajo techo (invernadero) y/o aguacate, la apertura y el aprovechamiento de pozos de extracción de agua subterránea queda  condicionada a la aprobación de la autoridad  correspondiente."
,1,,,,,,,,,,Ag.17,"Se prohibe el uso de cualquier agroquímico (pesticida, herbicida, fertilizante, etc.) en las zonas de alta infiltración, con el propósito de reducir el riesgo de contaminación del agua subterránea."
,,,,,,,,,,,Ag.18,"En unidades de producción de temporal ubicadas en zonas susceptibles a la erosión o a la vulnerabilidad de agua subterránea, deberán establecerse cultivos de cobertura."
,,,,,,,,,,,Ag.19,"En zonas con susceptibilidad a deslizamientos, erosión alta y muy alta, las actividades productivas deberán orientarse hacia prácticas agroforestales y silvopastoriles."
"0,1",1,,,1,,,,,,,Ag.20,"Solo las microcuencas con déficit hídrico podrán ser receptoras de trasvases de otras microcuencas, siempre y cuando la microcuenca de origen no quede en déficit hídrico al realizar el trasvase."
,,,,,,,,,,,Ag.21,"Los predios de agricultura intensiva y plantaciones, deberán elaborar un programa de manejo y monitoreo de las condiciones del suelo."
,,,,,,,,,,,Ag.22,Se deberán incorporar coberturas orgánicas sobre el suelo por lo menos una vez al año para evitar la erosión.
"0,1",1,,,,,,,,,,Ag.23,"La ampliación y apertura de zonas de riego se hará en función de la información disponible a partir del balance hídrico de la microcuenca señalado por el ordenamiento vigente (LAN 2016, art. 14, 14 BIS, 14 BIS 5, 14 BIS 6, 15 y 15 BIS)."
